lef,1,173.68,173.5433,14.05
lef,2,176.6267,175.82,14.05
lef,3,174.5833,177.7033,14.05
lef,4,176.99,178.33,14.05
lef,5,168.72,170.8267,14.05
lef,6,171.6767,170.2333,14.05
lef,7,173.3033,169.9733,14.05
lbd,1,170.3133,172.3333,6.6619
lbd,2,175.2467,172.38,6.6619
lbd,3,172.1833,172.1,6.6619
lbd,4,170.1433,167.0467,6.6619
lbd,5,170.9233,170.55,6.6619
lbd,6,166.6967,167.25,6.6619
lbd,7,167.96,171.76,6.6619
lelb,1,153.1867,148.2967,11.9876
lelb,2,150.4233,143.0367,11.9876
lelb,3,150.64,144.78,11.9876
lelb,4,153.35,145.0833,11.9876
lelb,5,152.39,144.6567,11.9876
lelb,6,145.41,140.7933,11.9876
lelb,7,151.69,145.3233,11.9876
lelb1,1,114.8233,121.2233,9.349
lelb1,2,127.5833,127.88,9.349
lelb1,3,134.4667,130.69,9.349
lelb1,4,130.4367,126.1667,9.349
lelb1,5,129.2567,128.9,9.349
lelb1,6,121.9967,119.1633,9.349
lelb1,7,126.2933,126.1733,9.349
lie,1,50.7833,59.2633,12.1667
lie,2,54.8467,64.3067,12.1667
lie,3,50.8567,63.3633,12.1667
lie,4,50.6167,60.88,12.1667
lie,5,53.6467,66.5267,12.1667
lie,6,44.8033,58.6533,12.1667
lie,7,54.5533,67.44,12.1667
ref,1,188.27,209.0167,46.0636
ref,2,190.5667,183.12,46.0636
ref,3,178.2167,174.4833,46.0636
ref,4,160.2533,164.1333,46.0636
ref,5,173.89,165.4333,46.0636
ref,6,165.5633,164.45,46.0636
ref,7,165.9433,159.12,46.0636
relb,1,133.75,117.8867,13.681
relb,2,135.0267,116.4467,13.681
relb,3,129.2567,113.68,13.681
relb,4,134.9367,116.5433,13.681
relb,5,130.0633,112.21,13.681
relb,6,127.7133,111.89,13.681
relb,7,128.1333,110.5167,13.681
relb1,1,133.6033,130.1333,10.7571
relb1,2,130.08,125.3867,10.7571
relb1,3,129,119.9333,10.7571
relb1,4,117.9467,114.4833,10.7571
relb1,5,115.8867,115.11,10.7571
relb1,6,130.0567,117.2733,10.7571
relb1,7,109.6933,112.7933,10.7571
rie,1,53.5767,74.01,15.4806
rie,2,44.35,54.7133,15.4806
rie,3,51.9333,66.8833,15.4806
rie,4,56.7667,74.3233,15.4806
rie,5,60.2567,83.0467,15.4806
rie,6,63.36,83.8767,15.4806
rie,7,60.6133,80.8733,15.4806
