Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
0.11,1.25,0.00,23.21,0.00,47.15,0.00,106.21,0.00,0.00,42.26,0.00,50.89,0.00,116.25,10.00,138.98,0.00,0.00
0.24,0.30,163.88,22.67,109.25,48.45,89.54,107.08,0.00,0.00,1.25,-16.12,9.36,70.75,92.89,89.54,6.86,0.00,0.00
0.36,6.89,163.88,18.08,109.25,48.12,89.54,105.81,0.00,0.00,3.24,-16.12,13.27,70.75,82.47,89.54,9.10,0.00,0.00
0.50,5.56,163.88,12.45,109.25,52.65,89.54,94.31,0.00,0.00,4.42,-16.12,13.86,70.75,80.29,89.54,11.17,0.00,0.00
0.62,5.86,163.88,15.32,109.25,47.33,89.54,98.37,0.00,0.00,3.53,-16.12,13.60,70.75,80.69,89.54,10.91,0.00,0.00
0.72,8.59,163.88,11.36,109.25,54.48,89.54,88.69,0.00,0.00,2.16,-16.12,13.11,70.75,81.11,89.54,10.87,0.00,0.00
0.81,10.64,163.88,12.73,109.25,63.00,89.54,82.62,0.00,0.00,1.50,-16.12,12.74,70.75,81.49,89.54,10.59,0.00,0.00
0.89,12.36,163.88,14.21,109.25,55.34,89.54,91.30,0.00,0.00,1.40,-16.12,12.38,70.75,81.22,89.54,10.84,0.00,0.00
1.02,10.99,163.88,13.18,109.25,55.35,89.54,88.12,0.00,0.00,1.03,-16.12,12.16,70.75,80.27,89.54,11.38,0.00,0.00
1.12,3.01,163.88,14.44,109.25,48.30,89.54,96.32,0.00,0.00,1.17,-16.12,12.45,70.75,79.54,89.54,12.28,0.00,0.00
1.26,4.13,163.88,14.98,109.25,47.27,89.54,97.63,0.00,0.00,1.11,-16.12,12.42,70.75,80.54,89.54,11.62,0.00,0.00
1.36,3.93,163.88,15.04,109.25,47.48,89.54,97.63,0.00,0.00,1.04,-16.12,12.48,70.75,80.83,89.54,11.41,0.00,0.00
1.47,3.84,163.88,15.17,109.25,47.94,89.54,97.82,0.00,0.00,0.99,-16.12,12.46,70.75,80.51,89.54,11.76,0.00,0.00
1.58,3.30,163.88,15.06,109.25,48.05,89.54,97.61,0.00,0.00,1.12,-16.12,12.46,70.75,79.90,89.54,12.00,0.00,0.00
1.69,2.23,163.88,14.86,109.25,49.10,89.54,96.97,0.00,0.00,1.25,-16.12,12.57,70.75,79.91,89.54,12.03,0.00,0.00
1.81,2.12,163.88,15.83,109.25,47.09,89.54,100.29,0.00,0.00,0.40,-16.12,12.46,70.75,82.29,89.54,10.23,0.00,0.00
1.91,16.11,163.88,17.70,109.25,35.68,89.54,81.65,0.00,0.00,0.03,-16.12,13.56,70.75,85.30,89.54,9.11,0.00,0.00
2.00,14.33,163.88,28.98,109.25,21.01,89.54,98.85,0.00,0.00,0.59,-16.12,20.03,70.75,15.04,89.54,83.90,0.00,0.00
2.13,9.45,163.88,13.96,109.25,3.50,89.54,92.74,0.00,0.00,7.87,-16.12,14.50,70.75,16.42,89.54,103.61,0.00,0.00
2.22,6.05,163.88,13.35,109.25,0.55,89.54,89.50,0.00,0.00,6.36,-16.12,19.20,70.75,15.71,89.54,77.78,0.00,0.00
2.31,3.80,163.88,12.81,109.25,2.65,89.54,87.37,0.00,0.00,5.38,-16.12,23.63,70.75,19.72,89.54,84.72,0.00,0.00
2.40,3.44,163.88,12.96,109.25,1.15,89.54,90.21,0.00,0.00,3.20,-16.12,26.05,70.75,21.83,89.54,79.89,0.00,0.00
2.50,3.02,163.88,13.15,109.25,2.18,89.54,88.47,0.00,0.00,3.13,-16.12,26.39,70.75,21.82,89.54,78.74,0.00,0.00
2.60,2.79,163.88,12.93,109.25,6.93,89.54,96.21,0.00,0.00,3.21,-16.12,23.99,70.75,11.88,89.54,88.55,0.00,0.00
2.69,9.32,163.88,22.55,109.25,15.45,89.54,103.36,0.00,0.00,10.26,-16.12,31.01,70.75,18.73,89.54,90.15,0.00,0.00
2.78,3.52,163.88,22.34,109.25,33.45,89.54,94.57,0.00,0.00,1.38,-16.12,22.79,70.75,30.55,89.54,94.33,0.00,0.00
2.87,12.32,163.88,21.68,109.25,44.94,89.54,96.99,0.00,0.00,1.48,-16.12,20.22,70.75,28.72,89.54,97.39,0.00,0.00
2.97,6.37,163.88,12.88,109.25,45.94,89.54,88.57,0.00,0.00,2.11,-16.12,19.77,70.75,31.73,89.54,98.02,0.00,0.00
3.06,8.64,163.88,13.19,109.25,50.24,89.54,91.23,0.00,0.00,0.54,-16.12,18.32,70.75,41.82,89.54,97.11,0.00,0.00
3.13,8.65,163.88,13.26,109.25,51.57,89.54,92.44,0.00,0.00,0.20,-16.12,18.36,70.75,49.81,89.54,89.05,0.00,0.00
3.22,8.81,163.88,13.56,109.25,52.38,89.54,93.31,0.00,0.00,0.95,-16.12,17.34,70.75,45.26,89.54,85.46,0.00,0.00
3.33,8.39,163.88,13.71,109.25,52.46,89.54,94.01,0.00,0.00,0.43,-16.12,17.78,70.75,42.50,89.54,98.84,0.00,0.00
3.43,8.05,163.88,13.84,109.25,52.68,89.54,94.79,0.00,0.00,1.35,-16.12,18.19,70.75,45.08,89.54,87.84,0.00,0.00
3.51,7.97,163.88,14.15,109.25,55.19,89.54,95.96,0.00,0.00,0.03,-16.12,17.45,70.75,42.83,89.54,99.92,0.00,0.00
3.62,7.92,163.88,14.49,109.25,53.80,89.54,95.30,0.00,0.00,0.22,-16.12,17.30,70.75,45.69,89.54,88.76,0.00,0.00
3.72,7.31,163.88,15.13,109.25,52.57,89.54,95.06,0.00,0.00,1.24,-16.12,16.85,70.75,44.44,89.54,98.12,0.00,0.00
3.81,7.20,163.88,15.67,109.25,52.52,89.54,95.54,0.00,0.00,1.29,-16.12,16.68,70.75,45.23,89.54,99.19,0.00,0.00
