Timestamp,Kinect_LShoulderExt-Flx,Kinect_LShoulderAbd-Add,Kinect_LElbow,Kinect_RShoulderExt-Flx,Kinect_RShoulderAbd-Add,Kinect_RElbow,LS_X,LS_Y,LS_Z,LE_X,LE_Y,LE_Z,RS_X,RS_Y,RS_Z,RE_X,RE_Y,RE_Z
1.51,16.21,77.93,78.04,14.35,81.25,25.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.64,12.64,81.17,49.15,9.45,85.97,48.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,12.54,81.21,50.21,9.60,85.47,47.34,0.00,0.00,0.00,54.83,2.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00
1.82,12.36,81.25,50.06,9.56,85.29,45.82,108.65,79.51,-94.96,54.83,2.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00
1.93,12.21,81.39,49.89,9.78,85.06,45.75,108.65,79.51,-94.96,54.83,2.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00
2.02,11.64,81.70,37.33,8.87,86.17,35.51,108.65,79.51,-94.96,54.83,2.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00
2.09,9.24,84.21,24.37,7.80,87.27,20.49,108.65,79.51,-94.96,54.83,2.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00
2.17,9.37,84.77,11.30,9.56,86.63,13.40,108.65,79.51,-94.96,54.83,2.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00
2.24,9.99,84.84,11.19,13.36,85.10,15.06,108.65,79.51,-94.96,6.81,4.79,0.84,0.00,0.00,0.00,0.00,0.00,0.00
2.31,11.35,85.24,13.65,14.56,85.46,16.73,108.65,79.51,-94.96,6.81,4.79,0.84,0.00,0.00,0.00,0.00,0.00,0.00
2.41,11.04,86.28,14.36,14.10,86.61,17.71,108.65,79.51,-94.96,6.81,4.79,0.84,0.00,0.00,0.00,0.00,0.00,0.00
2.47,9.45,87.93,18.18,11.45,88.95,21.77,108.65,79.51,-94.96,6.81,4.79,0.84,0.00,0.00,0.00,0.00,0.00,0.00
