Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
0.62,24.42,0.00,26.12,0.00,53.70,0.00,89.03,0.00,0.00,24.78,0.00,26.31,0.00,31.61,10.00,62.60,0.00,0.00
0.77,21.63,0.00,23.83,0.00,76.53,0.00,151.79,0.00,0.00,23.46,0.00,26.05,0.00,34.65,10.00,63.19,0.00,0.00
0.90,20.99,0.00,23.28,0.00,55.95,0.00,133.71,0.00,0.00,23.32,0.00,26.24,0.00,35.58,10.00,62.63,0.00,0.00
1.01,21.06,0.00,23.33,0.00,73.27,0.00,162.40,0.00,0.00,23.28,0.00,26.41,0.00,36.33,10.00,62.09,0.00,0.00
1.13,21.17,0.00,23.52,0.00,81.94,0.00,171.17,0.00,0.00,23.19,0.00,26.30,0.00,36.19,10.00,62.23,0.00,0.00
1.21,21.09,0.00,23.47,0.00,87.50,0.00,166.71,0.00,0.00,23.01,0.00,26.26,0.00,36.55,10.00,62.02,0.00,0.00
1.31,21.29,0.00,23.60,0.00,72.72,0.00,162.61,0.00,0.00,23.07,0.00,26.33,0.00,36.06,10.00,62.62,0.00,0.00
1.41,20.97,0.00,23.34,0.00,56.44,0.00,133.74,0.00,0.00,22.94,0.00,26.24,0.00,36.42,10.00,62.38,0.00,0.00
1.50,20.79,0.00,23.15,0.00,56.41,0.00,133.32,0.00,0.00,22.74,0.00,26.17,0.00,37.11,10.00,61.87,0.00,0.00
1.60,20.65,0.00,22.97,0.00,56.29,0.00,133.06,0.00,0.00,22.72,0.00,26.16,0.00,37.01,10.00,62.03,0.00,0.00
1.69,20.60,0.00,22.91,0.00,56.08,0.00,132.85,0.00,0.00,22.72,0.00,26.19,0.00,36.96,10.00,62.17,0.00,0.00
1.78,20.75,0.00,23.03,0.00,76.36,0.00,166.26,0.00,0.00,22.61,0.00,26.34,0.00,37.88,10.00,61.68,0.00,0.00
1.86,20.74,0.00,23.00,0.00,57.10,0.00,134.74,0.00,0.00,22.65,0.00,26.34,0.00,37.58,10.00,61.97,0.00,0.00
1.95,20.69,0.00,22.92,0.00,87.53,0.00,165.77,0.00,0.00,22.71,0.00,26.40,0.00,37.43,10.00,62.13,0.00,0.00
2.04,20.63,0.00,22.81,0.00,87.52,0.00,165.83,0.00,0.00,22.69,0.00,26.32,0.00,37.27,10.00,62.24,0.00,0.00
2.15,20.57,0.00,22.71,0.00,87.40,0.00,165.96,0.00,0.00,22.39,0.00,26.08,0.00,37.42,10.00,62.14,0.00,0.00
2.24,20.72,0.00,22.81,0.00,75.60,0.00,165.10,0.00,0.00,22.10,0.00,25.80,0.00,37.48,10.00,62.07,0.00,0.00
2.34,19.24,0.00,22.03,0.00,73.95,0.00,163.63,0.00,0.00,22.01,0.00,25.66,0.00,37.16,10.00,62.07,0.00,0.00
2.44,18.50,0.00,21.64,0.00,65.53,0.00,155.38,0.00,0.00,21.96,0.00,25.75,0.00,37.11,10.00,62.26,0.00,0.00
2.53,19.50,0.00,22.06,0.00,74.09,0.00,163.12,0.00,0.00,22.44,0.00,26.28,0.00,0.00,10.00,50.51,0.00,0.00
2.62,20.22,0.00,22.29,0.00,81.46,0.00,171.43,0.00,0.00,22.69,0.00,27.09,0.00,0.00,10.00,36.72,0.00,0.00
2.72,20.07,0.00,21.42,0.00,82.37,0.00,172.34,0.00,0.00,22.78,0.00,27.57,0.00,0.00,10.00,44.34,0.00,0.00
2.81,18.64,0.00,19.25,0.00,81.61,0.00,171.56,0.00,0.00,22.92,0.00,28.53,0.00,0.00,10.00,31.86,0.00,0.00
2.90,18.54,0.00,18.89,0.00,82.58,0.00,171.02,0.00,0.00,24.07,0.00,30.85,0.00,38.46,10.00,65.47,0.00,0.00
3.01,20.29,0.00,21.10,0.00,84.14,0.00,171.90,0.00,0.00,23.16,0.00,29.76,0.00,38.88,10.00,65.20,0.00,0.00
3.12,23.06,0.00,26.73,0.00,87.68,0.00,177.52,0.00,0.00,20.48,0.00,29.39,0.00,0.00,10.00,49.15,0.00,0.00
3.21,30.06,0.00,39.25,0.00,95.05,0.00,170.73,0.00,0.00,22.65,0.00,27.77,0.00,0.00,10.00,57.57,0.00,0.00
3.30,32.24,0.00,40.68,0.00,35.94,0.00,108.65,0.00,0.00,7.04,0.00,10.29,0.00,0.00,10.00,28.53,0.00,0.00
3.41,35.24,0.00,40.35,0.00,96.80,0.00,173.20,0.00,0.00,6.99,0.00,11.47,0.00,0.00,10.00,27.33,0.00,0.00
3.52,171.06,0.00,168.71,0.00,0.00,0.00,0.82,0.00,0.00,22.90,0.00,33.22,0.00,0.00,10.00,56.61,0.00,0.00
3.60,174.94,0.00,173.98,0.00,97.63,0.00,160.93,0.00,0.00,20.75,0.00,30.43,0.00,41.68,10.00,104.19,0.00,0.00
3.67,173.43,0.00,172.25,0.00,97.57,0.00,161.29,0.00,0.00,22.17,0.00,29.46,0.00,53.15,10.00,99.79,0.00,0.00
3.75,173.25,0.00,171.48,0.00,86.16,0.00,156.76,0.00,0.00,23.69,0.00,29.90,0.00,54.25,10.00,102.09,0.00,0.00
3.84,168.86,0.00,167.72,0.00,80.86,0.00,154.30,0.00,0.00,27.93,0.00,37.41,0.00,44.37,10.00,114.62,0.00,0.00
3.95,170.41,0.00,168.65,0.00,0.00,0.00,1.60,0.00,0.00,24.14,0.00,32.52,0.00,71.99,10.00,140.40,0.00,0.00
4.06,171.93,0.00,169.67,0.00,0.00,0.00,1.61,0.00,0.00,23.13,0.00,41.01,0.00,72.70,10.00,144.83,0.00,0.00
4.15,174.14,0.00,170.46,0.00,0.00,0.00,1.57,0.00,0.00,21.39,0.00,32.41,0.00,74.58,10.00,143.48,0.00,0.00
4.25,175.33,0.00,170.72,0.00,0.00,0.00,1.54,0.00,0.00,20.80,0.00,32.44,0.00,74.56,10.00,142.26,0.00,0.00
4.33,176.46,0.00,170.87,0.00,0.00,0.00,1.56,0.00,0.00,19.91,0.00,32.46,0.00,55.96,10.00,84.91,0.00,0.00
4.44,176.83,0.00,170.80,0.00,0.00,0.00,1.57,0.00,0.00,20.22,0.00,32.49,0.00,55.49,10.00,85.27,0.00,0.00
4.53,176.31,0.00,170.74,0.00,0.00,0.00,1.53,0.00,0.00,21.49,0.00,32.55,0.00,53.92,10.00,85.56,0.00,0.00
4.61,175.90,0.00,170.43,0.00,0.00,0.00,1.54,0.00,0.00,21.09,0.00,31.85,0.00,56.05,10.00,83.38,0.00,0.00
4.70,175.71,0.00,170.16,0.00,0.00,0.00,1.55,0.00,0.00,20.72,0.00,30.95,0.00,57.15,10.00,84.11,0.00,0.00
4.79,175.63,0.00,170.06,0.00,0.00,0.00,1.58,0.00,0.00,21.15,0.00,30.84,0.00,56.81,10.00,83.81,0.00,0.00
