Timestamp,Kinect_LShoulderExt-Y,Kinect_LShoulderAbd-Z,Kinect_LElbow,Kinect_RShoulderExt-Y,Kinect_RShoulderAbd-Z,Kinect_RElbow,IMULS_Y,IMULS_Z,IMUL_Elbow,IMURS_Y,IMURS_Z,IMURElbow
1.54,97.06,137.24,28.39,90.76,13.44,77.88,0.00,0.00,0.00,0.00,0.00,0.00
1.66,92.98,127.09,30.80,62.68,106.34,74.75,0.00,0.00,90.05,0.00,0.00,0.00
1.79,91.39,127.34,32.43,60.68,98.75,95.79,145.42,87.85,90.05,145.42,87.85,0.00
1.88,77.61,16.55,49.23,82.07,25.52,63.17,145.31,90.04,90.05,145.31,90.04,0.00
1.99,79.41,11.62,29.36,89.95,10.60,23.79,145.31,90.04,85.90,145.31,90.04,0.00
2.10,81.44,7.99,15.35,89.35,9.74,17.98,145.31,90.04,85.90,145.31,90.04,0.00
2.21,81.23,8.30,5.57,86.44,13.30,12.37,145.19,93.66,85.90,145.19,93.66,0.00
2.33,79.55,9.65,5.09,85.00,16.23,8.93,80.16,11.96,44.63,145.19,93.66,0.00
2.41,77.74,11.92,9.96,85.72,17.31,10.00,80.16,11.96,19.87,145.19,93.66,0.00
2.49,77.35,12.34,11.89,86.26,16.95,11.58,80.16,11.96,17.17,145.19,93.66,0.00
2.56,78.79,10.40,9.44,86.78,15.55,12.48,80.92,12.38,17.17,143.87,93.33,0.00
2.64,80.39,8.95,7.79,87.46,13.76,12.06,98.40,12.36,6.06,143.87,93.33,0.00
2.71,82.31,8.40,8.54,87.60,12.48,13.50,98.40,12.36,12.88,143.87,93.33,0.00
2.78,82.95,7.04,15.41,88.09,11.11,14.47,98.40,12.36,20.84,143.87,93.33,0.00
2.88,84.07,7.32,16.80,87.65,10.27,14.32,96.44,9.99,20.84,143.84,92.52,0.00
2.95,81.60,11.54,19.02,87.40,9.50,12.62,96.44,9.99,17.80,143.84,92.52,0.00
3.04,81.49,10.82,17.10,88.07,9.01,11.07,95.59,9.73,17.80,145.09,91.84,0.00
3.11,80.43,11.72,16.22,87.77,9.53,9.92,93.88,4.80,23.21,145.09,91.84,0.00
3.18,81.15,10.98,9.52,87.93,9.60,10.67,93.80,4.07,24.54,145.09,91.84,0.00
3.27,81.22,10.87,8.49,87.66,10.39,9.64,93.80,4.07,10.52,145.09,91.84,0.00
3.33,82.01,9.59,7.22,89.07,9.90,9.96,93.03,3.63,10.52,149.52,91.14,0.00
3.45,82.74,8.83,6.86,89.15,9.41,10.97,93.95,4.63,10.52,148.34,91.65,0.00
3.53,84.98,7.44,8.63,89.18,8.26,10.00,93.95,4.63,16.49,148.34,91.65,0.00
3.62,85.47,6.80,9.42,88.68,8.87,9.55,93.95,4.63,15.83,148.34,91.65,0.00
3.69,86.03,6.37,8.44,88.29,9.09,8.78,94.62,4.66,15.83,146.49,93.09,0.00
3.77,85.29,7.74,12.33,88.01,8.92,8.70,94.93,4.93,15.83,146.47,93.66,0.00
3.85,83.73,8.47,8.10,88.61,8.40,9.26,95.39,5.92,13.38,146.47,93.66,0.00
3.92,83.53,8.70,7.81,89.15,7.49,10.60,95.11,5.44,13.38,147.42,93.83,0.00
4.00,84.51,7.89,6.52,89.15,7.45,10.55,94.48,4.91,13.28,147.42,93.83,0.00
4.08,84.62,7.66,7.12,88.90,7.65,10.22,94.46,4.69,13.81,147.42,93.83,0.00
4.15,85.22,7.13,6.70,88.78,7.82,10.32,94.46,4.69,11.96,147.42,93.83,0.00
4.25,85.14,7.28,6.95,88.64,7.89,10.24,93.73,4.29,11.96,147.18,92.83,0.00
4.33,85.20,7.33,6.43,88.67,7.88,10.27,93.73,4.29,11.69,147.18,92.83,0.00
4.41,85.10,7.45,6.58,88.69,7.82,10.16,93.73,4.29,11.69,147.18,92.83,0.00
4.48,85.27,7.40,6.80,88.58,7.91,10.05,91.45,3.47,10.87,147.18,92.83,0.00
4.55,85.64,7.04,6.89,88.69,7.89,10.18,90.96,3.07,11.20,147.18,92.83,0.00
4.63,85.71,7.05,7.19,88.58,7.92,9.39,90.62,3.04,11.22,147.18,92.83,0.00
4.73,85.60,6.90,7.39,88.82,7.86,9.82,91.48,3.87,11.22,146.34,93.18,0.00
4.80,85.56,6.78,7.54,88.62,8.15,9.98,91.48,3.87,11.21,146.34,93.18,0.00
4.87,85.44,6.88,7.23,88.48,8.29,9.62,91.52,3.76,11.21,146.70,93.31,0.00
4.94,85.88,6.51,7.07,88.44,8.31,9.66,91.23,3.51,11.21,146.72,93.15,0.00
5.00,85.78,6.52,7.01,88.54,8.32,9.62,89.98,3.48,11.02,146.72,93.15,0.00
5.08,85.69,6.57,6.87,88.72,8.25,9.76,89.98,3.48,11.72,146.72,93.15,0.00
5.16,85.68,6.61,6.60,88.79,8.27,9.85,89.38,3.77,11.51,146.72,93.15,0.00
5.24,85.59,6.76,6.84,88.64,8.31,9.93,89.30,3.77,11.53,146.72,93.15,0.00
5.32,85.25,7.04,6.65,88.74,8.24,10.14,89.42,3.61,11.53,146.35,93.31,0.00
5.39,85.36,7.00,6.70,88.62,8.31,10.22,89.42,3.61,11.55,146.35,93.31,0.00
5.47,85.35,6.95,6.85,88.65,8.27,10.20,89.38,3.77,11.55,145.99,93.18,0.00
5.54,85.18,7.07,6.96,88.75,8.24,10.15,89.23,3.62,11.74,145.99,93.18,0.00
5.62,85.14,7.11,7.13,88.69,8.31,10.24,89.03,3.68,11.74,145.99,93.18,0.00
5.68,85.16,7.16,7.18,88.60,8.34,10.15,89.03,3.68,11.74,145.99,93.18,0.00
5.76,85.27,7.04,6.96,88.61,8.35,10.09,89.26,3.72,11.74,145.12,93.28,0.00
5.84,85.32,6.94,6.93,88.54,8.40,10.48,88.88,4.02,11.56,145.12,93.28,0.00
