Timestamp,Kinect_LShoulderExt-Y,Kinect_LShoulderAbd-Z,Kinect_LElbow,Kinect_RShoulderExt-Y,Kinect_RShoulderAbd-Z,Kinect_RElbow,IMULS_Y,IMULS_Z,IMUL_Elbow,IMURS_Y,IMURS_Z,IMURElbow
0.14,75.16,25.24,29.71,102.03,32.42,20.68,97.06,93.80,93.80,0.00,0.00,0.00
0.22,77.37,20.23,26.62,108.23,38.19,19.00,79.72,10.40,93.80,164.87,84.19,0.00
0.32,81.06,18.83,27.85,93.46,26.08,33.05,80.61,9.47,93.80,167.06,84.86,0.00
0.40,86.42,16.19,30.10,91.96,26.82,34.74,74.76,17.61,101.63,167.06,84.86,0.00
0.51,87.90,15.16,27.38,91.05,25.83,32.98,74.70,18.01,101.84,167.06,84.86,0.00
0.61,86.89,14.72,29.26,92.02,23.61,32.26,74.91,16.62,101.84,173.76,86.18,0.00
0.67,85.89,14.59,28.36,91.71,22.04,30.44,76.97,14.00,101.84,171.94,89.65,0.00
0.77,86.04,14.28,28.03,91.65,21.35,30.48,76.97,14.00,101.84,171.94,89.65,0.00
0.86,86.31,13.70,27.40,92.15,20.05,30.19,76.97,14.00,101.84,171.94,89.65,0.00
0.96,86.40,14.31,27.72,91.98,19.58,29.90,78.70,12.24,101.84,157.80,93.16,0.00
1.05,85.89,14.27,26.46,93.69,18.75,29.23,75.68,15.17,101.84,171.19,88.43,0.00
1.13,85.68,14.01,24.98,92.32,19.16,29.20,73.96,17.54,101.84,169.98,87.18,0.00
1.20,85.55,14.18,24.96,92.06,19.20,28.88,77.63,12.44,99.17,169.98,87.18,0.00
1.28,86.39,13.44,24.36,90.76,19.63,29.07,77.93,12.25,99.17,168.67,87.72,0.00
1.36,86.00,14.87,25.93,89.14,19.79,29.27,77.93,12.25,99.17,168.67,87.72,0.00
1.45,86.37,14.68,26.61,88.78,20.25,29.84,78.15,12.06,99.17,168.29,88.01,0.00
1.54,86.79,14.47,27.58,88.51,20.24,28.11,78.54,11.64,99.17,167.33,88.42,0.00
1.65,87.52,14.33,27.46,88.20,20.25,27.61,78.57,11.57,99.17,166.44,88.49,0.00
1.75,86.51,14.58,26.37,90.13,19.01,29.80,80.03,9.98,99.17,156.74,89.86,0.00
1.83,85.94,14.57,25.91,90.96,18.55,29.29,79.91,10.10,99.17,156.53,90.02,0.00
1.93,85.25,14.64,25.60,91.10,18.26,28.53,79.04,10.96,99.17,163.85,88.56,0.00
2.01,85.17,14.63,24.76,91.54,17.40,27.19,79.04,10.96,99.17,163.85,88.56,0.00
2.10,85.70,14.28,24.91,90.33,18.66,27.84,79.04,10.96,99.17,163.85,88.56,0.00
2.19,86.25,13.35,24.05,89.43,18.93,27.06,79.04,10.96,99.17,163.85,88.56,0.00
2.27,86.46,12.93,23.26,88.76,19.14,26.76,79.53,10.52,98.91,163.85,88.56,0.00
2.35,86.84,12.38,22.62,88.58,18.89,26.73,79.39,10.72,99.17,163.85,88.56,0.00
2.43,87.08,12.03,22.20,88.72,18.66,26.13,79.39,10.72,99.17,163.85,88.56,0.00
2.50,87.03,12.07,22.15,88.74,18.54,25.79,78.04,12.48,101.05,163.85,88.56,0.00
2.58,87.07,11.74,21.38,88.93,18.56,25.99,80.19,10.74,99.20,163.85,88.56,0.00
2.66,87.26,11.24,20.54,88.98,18.62,25.93,80.19,10.74,99.20,163.85,88.56,0.00
2.76,87.65,10.44,19.47,88.98,18.80,26.05,80.32,10.57,99.20,164.56,88.75,0.00
2.83,87.91,10.17,18.66,88.90,18.86,26.14,80.32,10.57,99.20,164.56,88.75,0.00
2.90,88.03,10.29,18.83,88.85,18.85,26.19,81.51,9.76,98.21,164.56,88.75,0.00
2.98,87.92,10.49,18.98,88.86,18.89,26.16,81.33,9.75,98.21,164.64,88.67,0.00
3.06,87.84,10.60,19.17,89.02,18.80,26.13,80.99,9.86,98.21,165.08,88.47,0.00
3.12,87.86,10.62,19.16,89.06,18.80,26.14,80.92,9.95,98.29,165.08,88.47,0.00
3.20,87.81,10.68,19.20,89.07,18.84,26.14,83.79,6.79,98.29,166.88,91.62,0.00
3.28,87.83,10.65,19.11,89.04,18.89,26.23,83.79,6.79,98.29,166.88,91.62,0.00
