Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
0.20,1.28,0.00,11.85,0.00,66.53,0.00,26.03,0.00,0.00,16.49,0.00,21.06,0.00,61.27,10.00,29.11,21.71,1.66
0.30,2.66,0.00,11.36,0.00,66.61,0.00,25.85,0.00,0.00,15.74,70.11,21.09,-11.70,61.72,153.90,28.49,15.46,-22.79
0.45,2.90,104.17,10.89,-168.91,69.23,9.72,22.84,75.85,37.84,15.88,70.11,21.50,-11.70,60.89,153.90,29.34,15.46,-22.79
0.56,4.21,17.43,12.49,18.00,69.58,20.58,22.73,75.85,37.84,16.86,-5.33,22.22,9.25,60.85,2.18,29.46,15.46,-22.79
0.69,5.22,17.43,14.42,18.00,67.43,20.58,24.85,75.85,37.84,16.97,-2.65,22.18,8.93,61.59,2.74,28.65,12.80,-27.08
0.78,5.19,17.43,13.13,18.00,67.67,20.58,25.22,6.41,-32.02,15.93,-2.65,21.84,8.93,62.15,2.74,28.23,12.80,-27.08
0.87,5.42,17.43,11.94,18.00,66.59,20.58,26.19,6.41,-32.02,15.48,-2.19,21.66,7.43,62.95,7.83,27.74,12.33,-31.67
0.97,5.45,17.43,11.59,18.00,66.55,20.58,26.08,6.41,-32.02,15.09,-2.19,21.19,7.43,63.51,7.83,27.34,14.66,-23.91
1.09,5.33,17.43,11.21,18.00,67.67,20.58,24.72,5.29,-29.94,15.07,-2.19,21.10,7.43,63.67,7.83,27.12,14.66,-23.91
1.20,5.11,17.43,10.98,18.00,67.98,20.58,24.41,5.29,-29.94,14.98,-2.19,21.04,7.43,63.98,7.83,26.85,13.36,-24.61
1.29,4.83,17.43,10.95,18.00,68.11,20.58,24.33,5.79,-27.89,14.90,-2.19,20.90,7.43,64.22,7.83,26.61,13.36,-24.61
1.38,4.30,17.70,10.80,22.26,68.84,24.57,23.64,7.72,-24.40,14.72,-2.19,20.75,7.43,64.49,7.83,26.37,13.36,-24.61
1.49,4.02,17.70,10.77,22.26,68.83,24.57,23.67,7.72,-24.40,14.27,-2.19,20.49,7.43,64.16,7.83,26.52,15.24,-27.89
1.58,4.03,17.70,10.87,22.26,68.75,24.57,23.76,8.90,-22.54,13.46,-2.19,20.28,7.43,64.31,7.83,26.24,15.24,-27.89
1.66,4.09,17.70,11.05,22.26,68.66,24.57,23.75,8.45,-23.91,12.90,-2.19,20.44,7.43,64.99,7.83,25.43,15.24,-27.89
1.76,4.26,17.70,11.47,22.26,68.58,24.57,24.00,8.45,-23.91,12.50,1.65,20.75,12.34,66.90,10.71,23.77,11.81,-31.30
1.84,4.21,17.70,11.71,22.26,68.57,24.57,24.14,8.45,-23.91,12.46,1.65,21.04,12.34,67.99,10.71,22.88,9.75,30.98
1.95,4.19,17.70,11.98,22.26,68.29,24.57,24.67,8.45,-23.91,12.30,1.65,21.49,12.34,70.09,10.71,21.23,10.08,45.00
2.05,4.25,17.70,12.08,22.26,68.33,24.57,24.68,9.28,-24.10,12.36,1.65,21.96,12.34,70.80,10.71,20.93,10.08,45.00
2.14,4.30,17.80,12.10,22.30,68.19,22.72,24.69,9.23,-26.06,12.20,1.65,22.26,12.34,71.56,10.71,20.64,10.08,45.00
2.23,4.46,17.80,12.24,22.30,68.04,22.72,24.84,9.23,-26.06,12.05,1.65,22.46,12.34,72.00,10.71,20.64,11.23,61.26
2.32,4.07,17.20,12.00,21.87,68.67,20.64,24.28,9.23,-26.06,11.79,0.20,22.60,12.28,72.60,9.25,20.51,11.23,61.26
2.44,4.17,17.78,12.07,21.72,68.64,21.28,24.33,8.73,-26.49,11.24,0.20,22.83,12.28,73.75,9.25,20.19,11.23,61.26
2.53,4.08,17.78,12.06,21.72,68.79,21.28,24.19,8.73,-26.49,10.73,0.20,22.97,12.28,74.79,9.25,19.83,11.19,73.49
2.61,4.23,17.37,12.15,21.61,68.75,20.82,24.20,8.73,-26.49,10.23,-0.13,23.07,12.39,75.68,9.39,19.55,11.19,73.49
2.73,4.27,17.35,12.23,21.82,68.65,19.31,24.32,8.90,-27.72,10.00,-0.13,23.12,12.39,76.14,9.39,19.41,11.19,73.49
2.82,4.02,17.35,12.25,21.82,68.88,19.31,24.33,8.90,-27.72,9.75,-0.13,23.14,12.39,76.83,9.39,19.20,12.49,84.09
2.91,4.16,16.58,12.45,21.84,68.61,18.10,24.76,8.90,-27.72,9.62,-0.73,23.11,12.37,77.24,9.67,19.23,12.49,84.09
3.02,4.32,17.29,12.70,21.81,68.44,18.02,25.12,8.44,-28.95,9.48,-0.73,23.08,12.37,77.88,9.67,18.96,12.49,84.09
3.11,4.30,17.29,12.83,21.81,68.53,18.02,25.07,8.44,-28.95,9.38,-0.73,22.99,12.37,78.40,9.67,18.55,12.49,84.09
3.22,4.14,17.29,12.81,21.81,68.99,18.02,24.63,8.44,-28.95,9.32,2.21,22.83,13.62,78.54,50.36,18.29,10.25,44.31
3.31,3.81,16.74,12.62,22.34,69.49,16.72,24.13,8.44,-28.95,9.14,1.93,22.70,13.15,78.52,50.88,18.30,10.25,44.31
3.39,3.78,16.74,12.55,22.34,69.26,16.72,24.33,9.88,-24.96,8.81,1.93,22.65,13.15,78.60,50.88,18.21,10.25,44.31
3.53,3.74,16.74,12.43,22.34,69.31,16.72,24.26,9.88,-24.96,8.59,2.16,22.68,14.27,78.96,57.86,18.05,10.61,37.33
3.62,3.72,16.50,12.23,21.71,69.34,16.17,24.10,9.49,-25.82,8.30,2.16,22.80,14.27,79.31,57.86,17.88,10.61,37.33
3.74,3.64,16.50,12.09,21.71,69.54,16.17,23.86,9.49,-25.82,8.31,2.16,22.83,14.27,79.35,57.86,17.84,10.71,56.94
3.83,3.67,16.50,11.99,21.71,69.59,16.17,23.78,9.41,-26.00,8.27,2.16,22.76,14.27,79.44,57.86,17.64,10.71,56.94
3.92,3.68,16.30,11.89,21.38,69.82,16.43,23.55,9.24,-25.80,8.29,2.16,22.76,14.27,79.49,57.86,17.65,10.71,56.94
4.06,3.71,16.30,11.78,21.38,69.92,16.43,23.38,9.24,-25.80,8.31,2.16,22.71,14.27,79.50,57.86,17.55,10.88,58.00
4.15,3.78,16.30,11.82,21.38,69.98,16.43,23.38,9.24,-25.80,8.38,2.05,22.75,13.94,79.64,60.96,17.32,10.70,54.97
4.25,3.73,17.12,11.83,21.66,70.09,16.93,23.30,9.24,-25.80,8.41,2.46,22.76,13.60,79.66,60.34,17.31,10.70,54.97
4.33,3.89,17.12,12.06,21.66,70.12,16.93,23.36,8.90,-25.20,8.42,2.46,22.79,13.60,79.71,60.34,17.32,10.70,54.97
4.42,3.89,17.12,12.10,21.66,70.18,16.93,23.31,8.90,-25.20,8.42,2.46,22.87,13.60,79.62,60.34,17.49,10.70,54.97
4.52,3.98,17.12,12.23,21.66,69.95,16.93,23.57,8.90,-25.20,8.44,2.46,22.91,13.60,79.58,60.34,17.60,10.97,54.77
4.61,3.98,17.53,12.23,21.77,69.76,17.39,23.79,8.90,-25.20,8.44,2.78,22.87,13.50,79.67,60.20,17.51,10.97,54.77
4.71,4.05,17.41,12.27,22.03,69.66,16.39,23.88,9.18,-25.71,8.43,2.78,22.89,13.50,79.62,60.20,17.55,10.97,54.77
4.79,4.10,17.41,12.22,22.03,69.66,16.39,23.83,9.18,-25.71,8.41,2.81,22.89,13.27,79.61,59.98,17.51,10.78,55.00
4.88,4.05,17.41,12.11,22.03,69.74,16.39,23.70,9.18,-25.71,8.39,2.81,22.90,13.27,79.58,59.98,17.58,10.78,55.00
