Timestamp,Kinect_LShoulderExt-Y,Kinect_LShoulderAbd-Z,Kinect_LElbow,Kinect_RShoulderExt-Y,Kinect_RShoulderAbd-Z,Kinect_RElbow,IMULS_Y,IMULS_Z,IMUL_Elbow,IMURS_Y,IMURS_Z,IMURElbow
0.17,75.35,30.05,42.21,87.44,17.03,87.82,106.96,102.10,102.10,0.00,0.00,0.00
0.25,74.52,25.06,30.41,102.88,23.20,45.47,63.87,26.55,102.10,134.12,80.31,0.00
0.33,81.81,23.99,24.19,88.11,24.57,21.86,70.59,25.83,106.05,134.12,80.31,0.00
0.41,85.19,21.68,26.80,89.48,25.60,33.19,74.96,25.89,105.92,134.12,80.31,0.00
0.51,88.14,17.34,30.34,88.86,28.82,37.71,73.64,21.20,105.92,168.70,87.23,0.00
0.58,87.14,14.51,31.88,91.32,26.11,32.36,75.54,18.51,103.67,168.70,87.23,0.00
0.66,88.41,13.57,32.52,91.40,23.21,33.16,76.64,17.58,102.56,168.70,87.23,0.00
0.74,88.58,13.30,35.32,90.85,22.55,35.44,76.64,17.58,24.03,168.70,87.23,0.00
0.82,88.56,13.54,29.78,89.93,23.02,34.33,76.64,17.58,24.48,168.70,87.23,0.00
0.88,87.96,13.76,34.03,89.43,23.99,32.97,76.27,18.46,24.48,170.68,87.05,0.00
0.97,87.65,14.32,29.87,89.76,24.28,34.28,76.99,17.35,23.36,170.68,87.05,0.00
1.04,87.40,14.37,29.65,90.21,25.33,35.00,77.48,16.64,22.65,170.68,87.05,0.00
1.10,87.48,15.24,29.36,89.81,25.35,33.87,77.48,16.64,23.24,170.68,87.05,0.00
1.20,86.91,15.21,27.01,88.67,21.43,29.20,76.65,19.52,23.24,165.00,84.65,0.00
1.27,84.49,15.28,26.48,88.52,20.02,28.61,76.06,19.29,23.24,167.14,84.69,0.00
1.36,86.19,13.58,28.53,87.46,23.95,31.92,75.12,18.78,23.24,173.14,85.26,0.00
1.44,86.56,13.26,27.53,86.40,27.21,33.24,75.80,18.13,23.24,175.62,86.41,0.00
1.51,86.33,13.37,27.11,86.10,28.08,31.65,75.57,17.42,22.80,175.62,86.41,0.00
1.59,85.76,13.98,26.77,86.23,27.69,30.80,75.57,17.42,18.36,175.62,86.41,0.00
1.65,85.81,14.89,27.21,85.22,27.56,31.65,77.58,17.67,18.36,176.93,88.29,0.00
1.72,83.30,16.96,27.06,85.18,25.23,32.13,73.42,19.85,21.61,176.93,88.29,0.00
1.84,76.83,26.50,28.97,83.89,23.10,32.12,56.15,34.54,37.95,176.93,88.29,0.00
1.93,50.68,55.37,28.48,86.32,26.47,31.42,56.71,34.01,37.95,176.14,88.75,0.00
2.01,42.59,67.47,28.23,86.01,26.87,30.81,56.71,34.01,30.53,176.14,88.75,0.00
2.08,37.81,75.81,26.80,85.92,27.22,30.65,57.40,33.39,30.53,175.07,89.31,0.00
2.16,36.28,80.37,27.87,85.86,27.34,30.91,57.40,33.39,30.53,175.07,89.31,0.00
2.24,33.45,84.88,23.62,85.80,27.41,31.12,10.12,86.49,26.14,175.07,89.31,0.00
2.31,31.70,87.47,21.64,85.66,27.48,31.12,10.12,86.49,6.22,175.07,89.31,0.00
2.44,30.84,88.36,20.97,85.50,27.82,30.85,10.12,86.49,5.86,175.07,89.31,0.00
2.52,31.26,88.39,21.05,84.97,28.31,30.80,9.53,86.69,5.86,174.49,89.13,0.00
2.60,31.28,88.39,21.04,84.93,28.26,30.69,10.23,88.17,7.47,174.49,89.13,0.00
2.67,31.25,88.34,20.98,84.92,28.38,30.73,10.43,87.86,7.19,174.49,89.13,0.00
2.73,31.25,88.39,20.97,84.95,28.28,30.60,10.43,87.86,7.72,174.49,89.13,0.00
2.81,31.31,88.44,20.85,84.94,28.28,31.74,10.89,87.80,7.72,174.95,89.19,0.00
2.88,31.40,88.44,20.94,84.90,28.29,31.43,10.64,87.78,7.69,174.95,89.19,0.00
2.96,31.49,88.35,20.96,84.91,28.28,31.22,10.82,87.48,7.39,174.95,89.19,0.00
3.04,31.65,88.12,21.17,84.91,28.31,30.97,10.82,87.48,8.72,174.95,89.19,0.00
3.11,32.07,86.94,21.80,84.93,28.39,30.92,10.98,87.16,8.72,175.07,89.55,0.00
3.18,33.17,83.54,23.24,85.05,28.33,30.75,14.69,79.47,1.95,175.07,89.55,0.00
3.27,35.47,77.22,26.53,85.18,28.25,30.38,21.36,71.38,7.31,175.07,89.55,0.00
3.34,38.16,68.34,25.43,85.34,27.79,30.09,21.36,71.38,18.69,175.07,89.55,0.00
3.40,43.22,58.99,24.28,85.55,27.39,30.13,22.34,70.51,18.69,175.55,90.40,0.00
3.50,50.38,48.44,24.44,85.72,27.26,30.05,22.51,70.36,18.69,175.64,90.53,0.00
3.58,59.43,36.91,24.12,85.92,27.16,30.42,22.51,70.36,18.69,175.64,90.53,0.00
3.64,66.92,29.10,24.16,84.67,26.74,28.93,65.60,24.42,31.20,175.64,90.53,0.00
3.73,75.28,20.93,24.55,84.84,27.00,29.12,65.60,24.42,20.38,175.64,90.53,0.00
3.79,82.98,14.31,25.75,84.82,27.31,29.35,65.49,24.54,20.38,175.55,90.39,0.00
3.89,85.55,11.62,26.19,85.61,27.58,29.57,65.49,24.54,32.47,175.55,90.39,0.00
3.96,86.78,10.62,27.43,86.18,27.45,29.57,65.49,24.54,33.32,175.55,90.39,0.00
4.03,86.60,10.38,27.09,86.32,27.29,29.44,64.14,25.86,33.32,177.82,89.07,0.00
4.11,86.14,9.13,25.83,86.37,27.26,29.36,77.18,13.03,20.51,177.82,89.07,0.00
4.19,80.40,10.33,20.72,84.76,26.77,28.41,76.64,13.77,20.51,177.68,88.49,0.00
4.26,69.82,24.49,19.66,83.78,26.57,28.01,76.63,34.10,37.61,177.68,88.49,0.00
4.34,56.89,44.50,26.73,82.84,26.45,27.84,76.65,33.52,37.61,177.64,88.58,0.00
4.42,53.25,56.21,33.75,82.39,26.43,27.89,87.00,67.48,68.84,177.64,88.58,0.00
4.49,50.83,76.93,23.11,81.97,25.93,28.21,92.96,76.11,76.63,177.64,88.58,0.00
4.60,51.75,85.23,16.62,81.88,25.94,29.05,97.70,81.75,81.64,177.64,88.58,0.00
4.67,50.89,91.82,24.34,81.68,25.29,28.91,92.99,80.71,81.64,173.18,88.23,0.00
4.78,52.46,94.31,20.76,81.54,25.98,28.95,99.69,85.95,86.05,173.18,88.23,0.00
4.85,53.26,96.57,17.22,81.77,26.19,28.81,98.01,85.68,86.05,171.40,87.40,0.00
4.93,53.48,96.24,16.86,81.76,26.33,28.98,98.57,85.19,85.50,171.40,87.40,0.00
5.01,52.86,95.15,18.80,81.73,26.42,28.41,99.06,85.09,85.50,171.76,87.02,0.00
5.08,52.67,94.92,18.13,81.78,26.41,28.93,99.00,85.22,85.64,171.76,87.02,0.00
5.21,50.81,94.17,21.86,81.76,26.33,29.59,99.00,85.22,7.88,171.76,87.02,0.00
5.28,49.50,95.18,22.77,81.49,26.12,30.52,99.31,84.69,7.64,171.76,87.02,0.00
5.36,50.16,94.85,21.99,81.37,26.22,30.50,99.31,84.69,8.02,171.76,87.02,0.00
5.43,48.78,93.97,25.07,81.20,26.24,30.16,100.92,84.30,8.02,173.33,87.23,0.00
5.53,50.39,93.99,23.11,81.45,26.08,30.02,100.79,84.20,8.02,173.24,87.32,0.00
5.63,50.37,94.34,23.14,81.23,26.10,30.00,102.92,83.54,9.07,173.24,87.32,0.00
