Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
1.43,3.21,0.00,22.79,0.00,50.79,0.00,101.80,0.00,0.00,5.29,0.00,28.83,0.00,39.69,10.00,107.91,0.00,0.00
1.54,2.45,0.00,16.23,0.00,40.26,0.00,92.08,0.00,0.00,7.51,0.00,26.71,0.00,40.68,10.00,106.85,0.00,0.00
1.68,1.74,0.00,16.18,0.00,41.03,0.00,92.10,0.00,0.00,7.81,0.00,26.96,0.00,39.19,10.00,106.36,0.00,0.00
1.79,0.62,0.00,16.77,0.00,42.42,0.00,92.55,0.00,0.00,7.04,0.00,26.33,0.00,41.17,10.00,106.54,0.00,0.00
1.93,1.38,0.00,16.85,0.00,41.89,0.00,93.06,0.00,0.00,6.73,0.00,26.21,0.00,40.63,10.00,106.16,0.00,0.00
2.02,2.42,0.00,16.83,0.00,41.09,0.00,93.44,0.00,0.00,6.72,0.00,26.70,0.00,40.91,10.00,106.51,0.00,0.00
2.11,2.73,0.00,16.91,0.00,41.14,0.00,94.19,0.00,0.00,6.84,0.00,26.85,0.00,39.99,10.00,106.16,0.00,0.00
2.21,2.92,0.00,16.90,0.00,41.06,0.00,94.11,0.00,0.00,7.13,0.00,27.24,0.00,40.26,10.00,106.58,0.00,0.00
2.31,2.98,0.00,16.92,0.00,41.09,0.00,94.53,0.00,0.00,7.23,0.00,27.46,0.00,39.90,10.00,106.46,0.00,0.00
2.39,3.16,0.00,17.05,0.00,42.35,0.00,92.36,0.00,0.00,7.25,0.00,27.49,0.00,37.07,10.00,104.80,0.00,0.00
2.51,3.19,0.00,17.06,0.00,42.82,0.00,92.19,0.00,0.00,7.16,0.00,27.41,0.00,37.02,10.00,104.58,0.00,0.00
2.62,3.51,0.00,17.22,0.00,42.49,0.00,93.04,0.00,0.00,6.47,0.00,26.71,0.00,37.08,10.00,103.75,0.00,0.00
