Timestamp,Kinect_LShoulderExt-Y,Kinect_LShoulderAbd-Z,Kinect_LElbow,Kinect_RShoulderExt-Y,Kinect_RShoulderAbd-Z,Kinect_RElbow,IMULS_Y,IMULS_Z,IMUL_Elbow,IMURS_Y,IMURS_Z,IMURElbow
1.56,68.17,7.67,26.97,37.22,15.91,44.14,0.00,0.00,0.00,0.00,0.00,0.00
1.71,7.52,4.83,16.30,14.98,12.44,21.73,0.00,0.00,95.17,0.00,0.00,0.00
1.82,1.75,4.62,16.20,14.20,12.38,21.58,0.00,0.00,95.59,0.00,0.00,0.00
1.90,-0.21,4.57,16.36,13.30,12.37,21.70,0.00,0.00,95.56,0.00,0.00,0.00
2.03,-1.34,5.08,16.40,10.46,12.15,21.89,0.00,0.00,94.24,0.00,0.00,0.00
2.14,-3.17,5.03,16.63,9.75,11.76,21.19,0.00,0.00,94.14,0.00,0.00,0.00
2.26,-3.46,5.05,17.14,8.62,11.51,20.97,0.00,0.00,94.14,0.00,0.00,0.00
2.34,-3.70,5.00,17.31,6.40,11.21,21.11,0.00,0.00,95.41,0.00,0.00,0.00
2.44,1.92,5.47,17.12,3.13,11.06,21.35,0.00,0.00,95.41,0.00,0.00,0.00
2.53,0.90,5.31,16.95,-0.47,11.32,21.60,0.00,0.00,93.90,0.00,0.00,0.00
2.61,2.98,5.43,16.79,-2.14,11.17,21.76,0.00,0.00,93.85,0.00,0.00,0.00
2.69,3.65,5.43,16.63,-1.90,10.91,21.43,0.00,0.00,93.85,0.00,0.00,0.00
2.76,6.09,5.55,16.20,-1.71,10.83,21.42,0.00,0.00,94.67,0.00,0.00,0.00
2.84,5.43,5.45,15.76,-1.34,10.72,21.35,0.00,0.00,94.73,0.00,0.00,0.00
2.92,1.96,5.24,15.70,-1.01,10.64,21.27,0.00,0.00,94.73,0.00,0.00,0.00
2.99,2.51,5.32,15.70,-1.02,10.63,21.27,0.00,0.00,95.55,0.00,0.00,0.00
3.06,5.65,5.60,15.48,-1.06,10.56,21.20,0.00,0.00,95.58,0.00,0.00,0.00
3.15,4.11,5.45,15.62,-0.74,10.52,21.08,0.00,0.00,95.58,0.00,0.00,0.00
3.22,3.05,5.35,15.72,-0.45,10.53,21.03,0.00,0.00,95.67,0.00,0.00,0.00
3.30,5.62,5.58,15.59,-0.11,10.50,20.95,0.00,0.00,95.67,0.00,0.00,0.00
3.39,4.85,5.47,15.73,0.21,10.50,20.93,0.00,0.00,95.67,0.00,0.00,0.00
3.47,2.60,5.24,15.90,0.47,10.48,21.04,0.00,0.00,95.67,0.00,0.00,0.00
3.54,2.55,5.27,16.10,0.72,10.50,21.01,0.00,0.00,95.67,0.00,0.00,0.00
3.61,5.06,5.51,16.03,0.77,10.50,21.02,0.00,0.00,95.67,0.00,0.00,0.00
3.68,3.69,5.41,16.17,0.74,10.51,21.03,0.00,0.00,95.67,0.00,0.00,0.00
3.76,-0.85,5.10,16.41,0.63,10.55,21.05,0.00,0.00,95.67,0.00,0.00,0.00
3.83,0.17,5.20,16.25,-0.01,10.58,21.13,0.00,0.00,95.67,0.00,0.00,0.00
3.91,-4.68,4.95,16.52,-0.26,10.59,21.10,0.00,0.00,95.67,0.00,0.00,0.00
3.99,-7.34,4.80,16.53,-0.21,10.47,20.82,0.00,0.00,95.67,0.00,0.00,0.00
4.06,-8.59,4.77,16.51,-0.97,10.45,20.94,0.00,0.00,95.67,0.00,0.00,0.00
4.14,-8.91,4.80,16.55,-0.97,10.41,20.79,0.00,0.00,95.67,0.00,0.00,0.00
4.22,-7.75,4.78,16.40,-0.96,10.30,20.74,0.00,0.00,95.67,0.00,0.00,0.00
4.30,-6.81,4.78,16.35,-0.42,10.30,20.75,0.00,0.00,95.67,0.00,0.00,0.00
4.41,-7.38,4.66,16.43,-0.02,10.43,20.69,0.00,0.00,95.67,0.00,0.00,0.00
4.49,-7.26,4.68,16.42,0.24,10.48,20.76,0.00,0.00,95.67,0.00,0.00,0.00
4.58,-6.39,4.63,16.33,0.16,10.49,20.87,0.00,0.00,95.67,0.00,0.00,0.00
4.64,-6.25,4.65,16.34,0.28,10.51,20.87,0.00,0.00,95.67,0.00,0.00,0.00
4.88,-5.91,4.65,16.44,0.21,10.51,20.91,0.00,0.00,95.67,0.00,0.00,0.00
4.97,23.94,6.20,22.02,1.49,10.44,20.81,0.00,0.00,95.67,0.00,0.00,0.00
5.05,49.51,14.37,22.51,2.53,10.43,20.67,0.00,0.00,95.67,0.00,0.00,0.00
5.14,59.54,29.89,21.50,6.73,10.30,19.94,0.00,0.00,95.67,0.00,0.00,0.00
5.21,61.35,39.17,22.62,9.56,10.25,20.06,0.00,0.00,95.67,0.00,0.00,0.00
5.27,64.39,49.37,20.84,10.86,10.07,20.50,0.00,0.00,95.67,0.00,0.00,0.00
5.37,64.88,56.68,23.56,10.28,9.74,20.67,0.00,0.00,95.67,0.00,0.00,0.00
5.45,68.15,68.30,22.23,9.05,9.50,20.70,0.00,0.00,95.67,0.00,0.00,0.00
5.56,71.60,83.67,15.41,11.57,9.37,20.25,0.00,0.00,100.39,0.00,0.00,0.00
5.68,72.33,84.23,14.80,10.05,9.36,20.66,0.00,0.00,100.41,0.00,0.00,0.00
5.77,73.15,84.94,13.15,4.71,9.54,21.65,0.00,0.00,100.54,0.00,0.00,0.00
5.86,73.92,84.37,12.23,6.72,9.38,21.35,0.00,0.00,100.39,0.00,0.00,0.00
