Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
1.56,12.32,0.00,26.61,0.00,45.41,0.00,119.55,0.00,0.00,7.93,0.00,12.38,0.00,0.00,10.00,39.71,0.00,0.00
1.74,6.31,0.00,21.53,0.00,45.67,0.00,122.56,0.00,0.00,3.56,0.00,11.02,0.00,43.01,10.00,120.03,0.00,0.00
1.88,5.81,0.00,21.40,0.00,46.09,0.00,123.46,0.00,0.00,3.57,0.00,11.53,0.00,43.54,10.00,120.43,0.00,0.00
1.98,5.36,0.00,20.75,0.00,44.77,0.00,120.82,0.00,0.00,3.11,0.00,11.90,0.00,44.28,10.00,119.44,0.00,0.00
2.10,6.45,0.00,20.99,0.00,44.81,0.00,119.82,0.00,0.00,2.68,0.00,12.18,0.00,44.12,10.00,118.72,0.00,0.00
2.20,5.09,0.00,20.97,0.00,45.03,0.00,120.38,0.00,0.00,2.66,0.00,12.36,0.00,43.76,10.00,118.37,0.00,0.00
2.31,5.41,0.00,21.13,0.00,45.09,0.00,120.19,0.00,0.00,2.68,0.00,12.47,0.00,43.62,10.00,118.17,0.00,0.00
2.40,6.99,0.00,21.15,0.00,46.05,0.00,119.38,0.00,0.00,2.69,0.00,12.50,0.00,43.32,10.00,117.88,0.00,0.00
2.49,6.54,0.00,21.14,0.00,45.80,0.00,119.14,0.00,0.00,2.73,0.00,12.56,0.00,43.14,10.00,117.62,0.00,0.00
2.60,7.77,0.00,21.32,0.00,46.24,0.00,118.79,0.00,0.00,2.76,0.00,12.64,0.00,43.03,10.00,117.35,0.00,0.00
2.69,8.77,0.00,21.27,0.00,45.41,0.00,118.11,0.00,0.00,3.02,0.00,12.73,0.00,42.96,10.00,117.07,0.00,0.00
2.78,6.64,0.00,20.80,0.00,45.16,0.00,118.87,0.00,0.00,3.06,0.00,12.74,0.00,42.84,10.00,116.84,0.00,0.00
2.90,5.73,0.00,20.92,0.00,45.19,0.00,119.20,0.00,0.00,3.04,0.00,12.74,0.00,42.76,10.00,116.82,0.00,0.00
3.01,4.30,0.00,20.93,0.00,44.35,0.00,119.30,0.00,0.00,3.20,0.00,12.69,0.00,42.56,10.00,116.37,0.00,0.00
3.10,3.86,0.00,21.65,0.00,43.42,0.00,123.64,0.00,0.00,3.25,0.00,12.66,0.00,38.13,10.00,112.91,0.00,0.00
3.19,8.24,0.00,27.77,0.00,46.52,0.00,133.52,0.00,0.00,3.85,0.00,12.77,0.00,39.87,10.00,115.99,0.00,0.00
3.32,7.16,0.00,33.81,0.00,54.52,0.00,144.52,0.00,0.00,5.75,0.00,12.82,0.00,42.74,10.00,118.04,0.00,0.00
3.44,6.07,0.00,35.00,0.00,58.63,0.00,148.11,0.00,0.00,5.36,0.00,12.66,0.00,42.86,10.00,117.81,0.00,0.00
3.55,3.68,0.00,35.11,0.00,63.11,0.00,152.43,0.00,0.00,5.33,0.00,12.82,0.00,43.54,10.00,118.67,0.00,0.00
3.64,7.55,0.00,35.89,0.00,61.97,0.00,151.65,0.00,0.00,5.20,0.00,12.66,0.00,43.42,10.00,118.89,0.00,0.00
3.76,4.95,0.00,35.45,0.00,61.93,0.00,151.33,0.00,0.00,5.15,0.00,12.49,0.00,43.42,10.00,119.36,0.00,0.00
3.86,6.31,0.00,35.23,0.00,60.82,0.00,150.29,0.00,0.00,5.15,0.00,13.39,0.00,46.64,10.00,125.07,0.00,0.00
3.96,6.27,0.00,34.88,0.00,59.99,0.00,149.55,0.00,0.00,5.41,0.00,14.02,0.00,47.75,10.00,126.53,0.00,0.00
4.06,6.18,0.00,35.17,0.00,59.88,0.00,149.23,0.00,0.00,5.21,0.00,14.20,0.00,48.01,10.00,126.90,0.00,0.00
4.15,6.13,0.00,35.37,0.00,60.18,0.00,149.39,0.00,0.00,5.21,0.00,14.40,0.00,48.14,10.00,127.11,0.00,0.00
4.24,8.07,0.00,35.75,0.00,59.60,0.00,149.02,0.00,0.00,4.98,0.00,14.12,0.00,47.98,10.00,126.96,0.00,0.00
4.35,6.26,0.00,35.58,0.00,62.36,0.00,152.17,0.00,0.00,4.91,0.00,14.24,0.00,52.68,10.00,129.57,0.00,0.00
4.44,5.76,0.00,35.35,0.00,63.05,0.00,152.95,0.00,0.00,4.90,0.00,14.41,0.00,49.00,10.00,127.66,0.00,0.00
4.54,5.67,0.00,35.17,0.00,63.58,0.00,153.52,0.00,0.00,4.83,0.00,14.36,0.00,46.95,10.00,123.60,0.00,0.00
4.63,5.66,0.00,35.05,0.00,63.69,0.00,153.66,0.00,0.00,4.61,0.00,14.14,0.00,52.31,10.00,131.70,0.00,0.00
4.72,5.61,0.00,34.91,0.00,62.34,0.00,152.23,0.00,0.00,4.69,0.00,14.37,0.00,48.73,10.00,127.33,0.00,0.00
4.80,5.66,0.00,34.75,0.00,61.27,0.00,150.74,0.00,0.00,4.59,0.00,14.48,0.00,46.98,10.00,123.81,0.00,0.00
4.91,5.73,0.00,34.53,0.00,63.25,0.00,153.17,0.00,0.00,4.73,0.00,14.50,0.00,47.07,10.00,123.62,0.00,0.00
5.00,7.97,0.00,34.61,0.00,61.80,0.00,151.70,0.00,0.00,4.70,0.00,14.36,0.00,46.99,10.00,123.65,0.00,0.00
5.09,6.75,0.00,34.23,0.00,62.86,0.00,152.85,0.00,0.00,4.73,0.00,14.34,0.00,57.10,10.00,137.48,0.00,0.00
5.19,6.36,0.00,34.06,0.00,62.62,0.00,152.43,0.00,0.00,4.64,0.00,14.30,0.00,47.03,10.00,123.23,0.00,0.00
5.29,6.16,0.00,33.93,0.00,62.59,0.00,152.54,0.00,0.00,4.81,0.00,14.64,0.00,47.20,10.00,123.71,0.00,0.00
5.37,5.79,0.00,33.80,0.00,62.60,0.00,152.51,0.00,0.00,4.65,0.00,13.86,0.00,45.67,10.00,121.28,0.00,0.00
5.47,5.48,0.00,33.69,0.00,62.79,0.00,152.71,0.00,0.00,4.35,0.00,14.10,0.00,46.31,10.00,122.48,0.00,0.00
5.56,5.37,0.00,33.55,0.00,62.96,0.00,152.93,0.00,0.00,4.26,0.00,14.59,0.00,46.75,10.00,124.11,0.00,0.00
5.64,5.47,0.00,33.52,0.00,60.42,0.00,150.42,0.00,0.00,4.51,0.00,14.79,0.00,47.00,10.00,124.45,0.00,0.00
5.72,8.75,0.00,33.69,0.00,60.22,0.00,150.04,0.00,0.00,4.50,0.00,14.68,0.00,46.92,10.00,124.44,0.00,0.00
5.81,7.12,0.00,33.33,0.00,61.61,0.00,151.61,0.00,0.00,4.62,0.00,14.60,0.00,46.47,10.00,123.62,0.00,0.00
5.90,6.78,0.00,33.35,0.00,61.74,0.00,151.71,0.00,0.00,4.73,0.00,14.87,0.00,46.54,10.00,123.61,0.00,0.00
