lef,1,158.54,157.25,12.1677
lef,2,113.72,122.88,12.1677
lef,3,156.53,160.78,12.1677
lef,4,155.16,149.87,12.1677
lef,5,159.21,150.98,12.1677
lef,6,136.98,150.7,12.1677
lef,7,158.22,164.68,12.1677
lbd,1,173.25,179.59,17.5361
lbd,2,164.78,176.84,17.5361
lbd,3,171.92,186.33,17.5361
lbd,4,173.98,184.57,17.5361
lbd,5,179.02,193.71,17.5361
lbd,6,179,190.28,17.5361
lbd,7,174.66,191.26,17.5361
ref,1,152.52,166.71,13.9206
ref,2,157.4,167.62,13.9206
ref,3,155.21,163.88,13.9206
ref,4,151.04,157.87,13.9206
ref,5,159.75,163.04,13.9206
ref,6,154.95,158.46,13.9206
ref,7,156.64,162.34,13.9206
relb,1,144.94,135.01,10.988
relb,2,144.37,139.49,10.988
relb,3,145.55,135.13,10.988
relb,4,143.34,141.36,10.988
relb,5,142.56,134.76,10.988
relb,6,140.49,138.42,10.988
relb,7,144.07,133.48,10.988
relb1,1,117.61,123.43,11.8135
relb1,2,124.09,129.58,11.8135
relb1,3,134.64,139.36,11.8135
relb1,4,128.2,136.05,11.8135
relb1,5,136.1,136.25,11.8135
relb1,6,127.65,133.47,11.8135
relb1,7,129.84,133.34,11.8135
