Sensor,Axis,Angle,Mean,Error,Error^2,abs error,,,,,,,,
RA,X,-80,-84.695,-4.695,22.043025,4.695,,,,,,,,
RA,X,-60,-62.746,-2.746,7.540516,2.746,,,,,,,,
RA,X,-40,-42.68111111,-2.68111111,7.188356784,2.68111111,,,,,,,,
RA,X,-20,-22.67619048,-2.67619048,7.161995485,2.67619048,,,,,,,,
RA,X,0,0,0,0,0,,,,,,,,
RA,X,20,24.12333333,4.12333333,17.00187775,4.12333333,,,,,,,,
RA,X,40,42.57272727,2.57272727,6.618925606,2.57272727,,,,,,,,
RA,X,60,62.86,2.86,8.1796,2.86,,,,,,,,
RA,X,80,80.50157895,0.50157895,0.251581443,0.50157895,,,,,,,,
RA,Y,-80,-84.13909091,-4.13909091,17.13207356,4.13909091,,,,,,,,
RA,Y,-60,-61.38909091,-1.38909091,1.929573556,1.38909091,,,,,,,,
RA,Y,-40,-42.53055556,-2.53055556,6.403711442,2.53055556,,,,,,,,
RA,Y,-20,-22.0895,-2.0895,4.36601025,2.0895,,,,,,,,
RA,Y,0,0,0,0,0,,,,,,,,
RA,Y,20,21.699,1.699,2.886601,1.699,,,,,,,,
RA,Y,40,43.94333333,3.94333333,15.54987775,3.94333333,,,,,,,,
RA,Y,60,64.11,4.11,16.8921,4.11,,,,,,,,
RA,Y,80,81.57333333,1.57333333,2.475377767,1.57333333,,,,,,,,
RA,Z,-80,-83.10142857,-3.10142857,9.618859175,3.10142857,,,,,,,,
RA,Z,-60,-61.8715,-1.8715,3.50251225,1.8715,,,,,,,,
RA,Z,-40,-42.64421053,-2.64421053,6.991849327,2.64421053,,,,,,,,
RA,Z,-20,-22.29615385,-2.29615385,5.272322503,2.29615385,,,,,,,,
RA,Z,0,0,0,0,0,,,,,,,,
RA,Z,20,23.07941176,3.07941176,9.482776788,3.07941176,,,,,,,,
RA,Z,40,42.08526316,2.08526316,4.348322446,2.08526316,,,,,,,,
RA,Z,60,59.93923077,-0.06076923,0.003692899,0.06076923,,,,,,,,
RA,Z,80,79.898125,-0.101875,0.010378516,0.101875,1.406315824,2.206313233,0.637405335,,,,,
