Timestamp,IMULS_X,IMULS_Y,IMULS_Z,IMULS_Ynew,IMULS_Znew,IMULE_X,IMULE_Y,IMULE_Z,IMULElbow,IMURS_X,IMURS_Y,IMURS_Z,IMURS_Ynew,IMURS_Znew'IMURE_X,IMURE_Y,IMURE_Z,IMURElbow,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.86,-9.33,2.24,-5.84,86.86,9.60,-6.51,6.80,18.08,9.40,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
2.90,-9.18,2.17,-5.99,86.91,9.43,-6.51,6.80,18.08,9.26,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
2.90,-9.18,2.17,-5.99,86.91,9.43,-6.37,6.74,17.93,9.26,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
2.96,-9.18,2.17,-5.99,86.91,9.43,-6.37,6.74,17.93,9.26,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
3.01,-9.20,1.94,-6.24,87.10,9.40,-6.37,6.74,17.93,9.14,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
3.03,-9.20,1.94,-6.24,87.10,9.40,-6.45,6.79,18.13,9.36,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
3.07,-9.24,1.78,-6.22,87.25,9.41,-6.45,6.79,18.13,9.27,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
3.11,-9.24,1.78,-6.22,87.25,9.41,-6.40,6.46,18.32,9.09,98.63,70.85,73.10,154.79,92.82,0.00,0.00,0.00,0.00
3.13,-9.30,2.19,-5.93,86.89,9.55,-6.40,6.46,18.32,9.09,97.45,70.71,72.28,155.13,92.46,0.00,0.00,0.00,0.00
3.14,-9.30,2.19,-5.93,86.89,9.55,-6.40,6.46,18.32,9.09,97.45,70.71,72.28,155.13,92.46,0.00,0.00,0.00,0.00
3.20,-9.31,2.11,-6.24,86.92,9.55,-6.40,6.46,18.32,9.07,97.45,70.71,72.28,155.13,92.46,0.00,0.00,0.00,0.00
3.21,-9.31,2.11,-6.24,86.92,9.55,-6.58,6.47,18.16,9.22,97.45,70.71,72.28,155.13,92.46,0.00,0.00,0.00,0.00
3.25,-9.31,2.11,-6.24,86.92,9.55,-6.58,6.47,18.16,9.22,97.45,70.71,72.28,155.13,92.46,0.00,0.00,0.00,0.00
3.26,-9.06,2.31,-6.27,86.74,9.35,-6.58,6.47,18.16,9.22,96.70,70.91,71.53,155.10,92.19,0.00,0.00,0.00,0.00
3.27,-9.06,2.31,-6.27,86.74,9.35,-6.75,6.49,17.98,9.35,96.70,70.91,71.53,155.10,92.19,0.00,0.00,0.00,0.00
3.31,-8.90,2.32,-6.11,86.77,9.19,-6.75,6.49,17.98,9.23,96.70,70.91,71.53,155.10,92.19,0.00,0.00,0.00,0.00
3.35,-8.90,2.32,-6.11,86.77,9.19,-6.43,6.43,17.99,9.08,96.70,70.91,71.53,155.10,92.19,0.00,0.00,0.00,0.00
3.37,-9.26,2.23,-6.23,86.81,9.53,-6.43,6.43,17.99,9.08,97.21,70.57,71.90,154.99,92.39,0.00,0.00,0.00,0.00
3.38,-9.26,2.23,-6.23,86.81,9.53,-6.76,6.48,17.64,9.35,97.21,70.57,71.90,154.99,92.39,0.00,0.00,0.00,0.00
3.46,-9.09,2.32,-5.77,86.81,9.37,-6.76,6.48,17.64,9.25,97.21,70.57,71.90,154.99,92.39,0.00,0.00,0.00,0.00
3.49,-8.88,2.49,-5.62,86.68,9.22,-6.76,6.48,17.64,9.21,97.21,70.57,71.90,154.99,92.39,0.00,0.00,0.00,0.00
3.51,-8.88,2.49,-5.62,86.68,9.22,-6.51,6.70,17.78,9.33,97.21,70.57,71.90,154.99,92.39,0.00,0.00,0.00,0.00
3.55,-8.86,2.57,-5.31,86.66,9.23,-6.51,6.70,17.78,9.35,97.21,70.57,71.90,154.99,92.39,0.00,0.00,0.00,0.00
3.59,-8.86,2.57,-5.31,86.66,9.23,-6.47,6.76,18.09,9.35,97.21,70.57,71.90,154.99,92.39,0.00,0.00,0.00,0.00
3.60,-9.21,2.74,-5.25,86.46,9.60,-6.47,6.76,18.09,9.35,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.62,-9.21,2.74,-5.25,86.46,9.60,-6.31,6.73,18.27,9.22,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.68,-9.22,2.66,-5.56,86.49,9.59,-6.31,6.73,18.27,9.20,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.68,-9.22,2.66,-5.56,86.49,9.59,-6.49,6.74,18.10,9.35,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.73,-9.22,2.66,-5.56,86.49,9.59,-6.49,6.74,18.10,9.35,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.73,-9.22,2.66,-5.56,86.49,9.59,-6.49,6.74,18.10,9.35,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.75,-9.22,2.66,-5.56,86.49,9.59,-6.49,6.74,18.10,9.35,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.79,-9.26,2.51,-5.55,86.65,9.59,-6.49,6.74,18.10,9.26,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.82,-9.26,2.51,-5.55,86.65,9.59,-6.55,6.54,17.78,9.25,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.87,-9.22,2.66,-5.56,86.49,9.59,-6.55,6.54,17.78,9.33,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.93,-9.06,2.53,-5.33,86.68,9.41,-6.55,6.54,17.78,9.10,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.97,-9.05,2.60,-5.02,86.65,9.41,-6.55,6.54,17.78,9.12,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
3.99,-9.05,2.60,-5.02,86.65,9.41,-6.55,6.92,17.60,9.52,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
4.02,-9.04,2.68,-4.72,86.62,9.42,-6.55,6.92,17.60,9.54,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
4.06,-9.04,2.68,-4.72,86.62,9.42,-6.68,7.01,17.74,9.67,96.93,70.20,71.71,155.08,92.34,0.00,0.00,0.00,0.00
