lbd,1,163.39,155.3,22.6846
lbd,2,155.27,157.17,22.6846
lbd,3,156.71,155.08,22.6846
lbd,4,156.46,160.2,22.6846
lbd,5,163.41,158.71,22.6846
lbd,6,164.74,161.36,22.6846
lbd,7,162.89,156.81,22.6846
lef,1,177.92,166.8,18.1071
lef,2,184.96,177.58,18.1071
lef,3,179.44,174.93,18.1071
lef,4,182.15,176.55,18.1071
lef,5,181.28,179.01,18.1071
lef,6,183.08,167.54,18.1071
lef,7,180.67,174.83,18.1071
lelb,1,145.65,114.92,15.4467
lelb,2,146.48,127.26,15.4467
lelb,3,138.89,127.87,15.4467
lelb,4,144.31,128.97,15.4467
lelb,5,140.19,132.15,15.4467
lelb,6,137.2,129.01,15.4467
lelb,7,136.3,130.58,15.4467
lelb1,1,133.22,130.99,18.7937
lelb1,2,138.17,132.76,18.7937
lelb1,3,136.29,130.4,18.7937
lelb1,4,134.31,129.84,18.7937
lelb1,5,134.12,127.26,18.7937
lelb1,6,133.29,137.48,18.7937
lelb1,7,138.61,129.45,18.7937
rbd,1,158.89,152.31,28.0038
rbd,2,147.51,126.54,28.0038
rbd,3,150.88,149.19,28.0038
rbd,4,149.03,148.93,28.0038
rbd,5,159.95,147.77,28.0038
rbd,6,153.91,141.45,28.0038
rbd,7,149.3,145.47,28.0038
ref,1,186.24,172.65,26.1201
ref,2,176.38,137.33,26.1201
ref,3,184.98,174.75,26.1201
ref,4,185.17,169.1,26.1201
ref,5,191.07,181,26.1201
ref,6,184.24,169.15,26.1201
ref,7,188.33,177.3,26.1201
relb,1,140.22,117.12,18.5216
relb,2,143.8,122.14,18.5216
relb,3,145.94,122.43,18.5216
relb,4,143.35,122.61,18.5216
relb,5,145.39,122.52,18.5216
relb,6,145.47,125.77,18.5216
relb,7,143.75,135.19,18.5216
relb1,1,129.33,125.15,15.6639
relb1,2,132.71,122.2,15.6639
relb1,3,130.43,121.64,15.6639
relb1,4,133.25,126.92,15.6639
relb1,5,135.35,129.07,15.6639
relb1,6,136.3,130.52,15.6639
relb1,7,134.41,125.21,15.6639
rie,1,54.16,79.29,40.8913
rie,2,72.98,76.78,40.8913
rie,3,56.84,77.77,40.8913
rie,4,66.56,66.59,40.8913
rie,5,54.67,84.14,40.8913
rie,6,60.05,81.51,40.8913
rie,7,77.02,88.23,40.8913
